time, leader_x, leader_y, follower_x, follower_y
5536,0.249059325837224,3.072332359623493e-05,-0.40943109126972677,0.01827298476965663
5568,0.25303326156617706,3.0783315477945627e-05,-0.4045821700614523,0.01816990375161713
5600,0.25700707931146205,3.0497157501507235e-05,-0.39973341070407786,0.018068047311748065
5632,0.26098070305033866,2.9868572607916543e-05,-0.3948844822603605,0.017966986286856203
5664,0.26495405895320695,2.8905668154419784e-05,-0.39003514596964206,0.017866368195202695
5696,0.2689270774030951,2.76208282415788e-05,-0.38518518059556867,0.01776591227305912
5728,0.2728996933954799,2.6030552076430835e-05,-0.3803344347607038,0.017665402853555456
5760,0.2768718475374986,2.4155239986578927e-05,-0.3754828089549855,0.017564679490156155
5792,0.2808434863031507,2.201893047950354e-05,-0.3706302002678778,0.017463625597366937
5824,0.28481456401474725,1.9648989959161388e-05,-0.3657765626159777,0.017362159950683676
5856,0.2887850418562616,1.707576288321927e-05,-0.36092188881458986,0.017260231703761245
5888,0.2927548885251515,1.4332183272760738e-05,-0.35606620620239854,0.017157882118548535
5920,0.2967240808766336,1.1453353677365688e-05,-0.3512095258839788,0.01705515058513832
5952,0.3006926042847449,8.476097634676207e-06,-0.34635190583907877,0.016952072094380932
5984,0.30466045233372574,5.438490712411126e-06,-0.34149342266350463,0.016848675723558974
6016,0.30862764196362513,2.3793719744730626e-06,-0.33663418584062726,0.01674498504294313
6048,0.31259416262883943,-6.621448350946133e-07,-0.33177428531364783,0.016641017933481238
6080,0.3165600354306375,-3.647159906993298e-06,-0.32691384864442974,0.01653678909500126
6112,0.3205252887100334,-6.537503240535753e-06,-0.32205301299361266,0.016432420216396373
6144,0.3244899582500286,-9.296210128464598e-06,-0.31719192399991486,0.016327915488063116
6176,0.32845408489379996,-1.1887990004172667e-05,-0.31233074659689225,0.01622326566875743
6208,0.33241771663714126,-1.4279679249523157e-05,-0.3074696096735855,0.01611846754106041
6240,0.3363809073535798,-1.644066347319477e-05,-0.3026086653758278,0.016013525777130114
6272,0.34034371600512725,-1.8343268949469538e-05,-0.29774805915827696,0.0159084528451795
6304,0.34430620689483876,-1.996311766724091e-05,-0.292887928187121,0.01580326913804074
6336,0.34826844760615283,-2.1279439874822406e-05,-0.2880283985665595,0.015698002876303983
6368,0.35223050897691993,-2.2275341866276698e-05,-0.283169598701984,0.015592690139368634
6400,0.35404225552911955,-2.2564486787720704e-05,-0.2783116042706905,0.015487373243445856
6432,0.35470894213336546,-2.2630001595839548e-05,-0.27345449915921055,0.015382101293639065
6464,0.3547896239536951,-2.2619253887338634e-05,-0.26859834820586614,0.0152769288881759
6496,0.3547835003585615,-2.2602012657991027e-05,-0.2637431958393222,0.01517191509433583
6528,0.35477723716098775,-2.2588426800697406e-05,-0.2588890656986886,0.015067122367092007
6560,0.3547721676902921,-2.2577892817936482e-05,-0.2540359762012901,0.014962615724373806
6592,0.35476812123156026,-2.256973944911614e-05,-0.24918388922731097,0.014858460460435959
6624,0.3547648941901297,-2.25634480473796e-05,-0.24433277096508477,0.014754722092030598
6656,0.3547623206483567,-2.2558612291820588e-05,-0.23948256815924548,0.01465146469491251
6688,0.3547602681985812,-2.2554913362747245e-05,-0.2346332082577902,0.014548749628288048
6720,0.3547586312798512,-2.2552101656360308e-05,-0.22978461814427137,0.01444663472806872
6752,0.3547573257511895,-2.254998165022939e-05,-0.22493667155129668,0.014345172099440879
6784,0.35475628451280666,-2.2548400559494097e-05,-0.22008925511251817,0.014244408354710619
6816,0.35475545408762565,-2.254723871307614e-05,-0.21524224312839793,0.014144383244875963
6848,0.3547547917953312,-2.2546402965258147e-05,-0.21039551539602816,0.014045129175137
6880,0.35475426361812584,-2.2545820477305375e-05,-0.20554890862457045,0.01394666956579738
6912,0.35475384242390007,-2.2545434528992746e-05,-0.20078761199569314,0.013850768211048341
6944,0.35475350657810834,-2.2545200717737307e-05,-0.19603809756081572,0.013755881253447674
6976,0.3547532387979644,-2.2545084899112624e-05,-0.19125319511399896,0.013661068368751833
7008,0.35475302533033537,-2.2545060163077487e-05,-0.1864380520122689,0.013566449166944987
7040,0.3547528551711939,-2.254510580696361e-05,-0.18160652329769028,0.013472293244627181
7072,0.3547527195756446,-2.2545205668014444e-05,-0.17676618814462539,0.013378727804455844
7104,0.35475261154682536,-2.2545347297056085e-05,-0.17192092490339314,0.013285796206289068
7136,0.3547525255062273,-2.254552098970842e-05,-0.16707264227093713,0.013193494141050668
7168,0.3547524570085113,-2.2545719327966135e-05,-0.16222229514829103,0.013101791122450798
7200,0.35475240251247947,-2.254593646371296e-05,-0.15737034768090824,0.013010641030662361
7232,0.35475235919049686,-2.254616790214785e-05,-0.15251703931844202,0.012919988498333007
7264,0.35475232475538127,-2.2546410414114898e-05,-0.14766246169088046,0.012829771700777653
7296,0.35475229742990566,-2.2546661238636265e-05,-0.14280668404756086,0.012739925892502292
7328,0.35475227577984203,-2.2546918305664438e-05,-0.137949762256638,0.01265038497606273
7360,0.354752258648943,-2.25471801560977e-05,-0.13309176890665686,0.012561083329772103
7392,0.35475224513104053,-2.254744555361235e-05,-0.12823275121549416,0.012471956361619466
7424,0.3547521989785054,-2.235983631524263e-05,-0.12337279498308552,0.012382942843429995
7456,0.3547975016057939,-2.3422614185392076e-05,-0.11851200086658883,0.012293985791985878
7488,0.3549219002407842,-3.1628315811489064e-05,-0.11365049759124597,0.012205033812322267
7520,0.3551376500202368,-5.5648411515309716e-05,-0.10878838978891803,0.012116041214382969
7552,0.3554459175994876,-0.00010441917646907491,-0.10392581684747505,0.012026969897949283
7584,0.35581727965928883,-0.00018076296497140077,-0.09906292513801469,0.011937789736679484
7616,0.3562081944116877,-0.00027986408055291937,-0.09419986508312478,0.011848479118950298
7648,0.3565944623320375,-0.00039632706018644277,-0.08933680431922729,0.011759025657186048
7680,0.35696237935919484,-0.0005249181618811534,-0.08447387186686828,0.011669425490636248
7712,0.3573119731008587,-0.0006542146465467874,-0.07961121775664473,0.011579684383835434
7744,0.3576503524120414,-0.0007714591265231868,-0.07474898427706185,0.011489817243536303
7776,0.35798234913257876,-0.0008687500932757131,-0.06988730282959295,0.011399847781836562
7808,0.358310608685859,-0.0009400007093755236,-0.0650262924676814,0.01130980807070841
7840,0.3586358769300396,-0.0009801615191445264,-0.06016605736180142,0.011219737913435064
7872,0.35893764074448586,-0.0010045664299583807,-0.05530670120948936,0.011129684379406079
7904,0.3592073988787375,-0.0010137325491392664,-0.05044827213599699,0.011039699949431383
7936,0.359443446806005,-0.0010035346237183013,-0.04559082506675025,0.010949842567841284
7968,0.359645759188838,-0.0009705271183899223,-0.040734393264211466,0.010860174135916358
8000,0.3598152756409387,-0.0009117718475629453,-0.035878989922594515,0.010770759333755403
8032,0.35995351665382896,-0.0008247173236655659,-0.031024606519521946,0.010681664362470483
8064,0.3600623609323126,-0.0007071099282725578,-0.02617122976084585,0.010592955989610625
8096,0.3601439544883019,-0.0005569724560064382,-0.02131879074607864,0.010504699385724533
8128,0.36020062766461397,-0.0003725646147854064,-0.01646722664367167,0.010416957883077223
8160,0.36023485849974984,-0.00015237479214609898,-0.011616456755678526,0.010329791421431558
